epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9051,1.76467,3.42337,1.84474,0.42452,0.3145,0.26557,0.10761,2.18348,2.60122,2.1402,0.000331224,0.000331224,0.000331224
2,24.844,1.74274,2.52144,1.79172,0.48636,0.36736,0.37515,0.16256,1.919,3.29408,2.03341,0.000651399,0.000651399,0.000651399
3,35.5255,1.73376,2.33117,1.79497,0.45573,0.45729,0.40068,0.17981,1.87444,2.29088,2.05878,0.000958374,0.000958374,0.000958374
4,46.2605,1.70159,2.17785,1.76187,0.55713,0.47169,0.40183,0.15726,1.98588,2.30686,2.01012,0.0009406,0.0009406,0.0009406
5,57.2542,1.62463,2.04399,1.71074,0.4639,0.54865,0.51665,0.24493,1.7541,1.8481,1.88845,0.0009208,0.0009208,0.0009208
6,67.9685,1.64216,1.99307,1.71187,0.50612,0.47075,0.49855,0.21955,1.7892,2.03411,1.96242,0.000901,0.000901,0.000901
7,78.4642,1.59219,1.91331,1.68261,0.50135,0.56623,0.54509,0.23608,1.77662,1.77623,1.89537,0.0008812,0.0008812,0.0008812
8,88.8849,1.58337,1.85675,1.67549,0.46244,0.48906,0.48226,0.21909,1.78926,1.92488,1.86707,0.0008614,0.0008614,0.0008614
9,99.4633,1.57144,1.83085,1.6766,0.54609,0.56991,0.59852,0.29997,1.6507,1.72493,1.77679,0.0008416,0.0008416,0.0008416
10,110.134,1.52219,1.7587,1.6437,0.55485,0.57555,0.59611,0.319,1.6161,1.5979,1.70363,0.0008218,0.0008218,0.0008218
11,120.767,1.55158,1.69631,1.63969,0.55126,0.59764,0.6103,0.29592,1.7459,1.62041,1.83638,0.000802,0.000802,0.000802
12,131.45,1.53911,1.70027,1.62151,0.53806,0.60948,0.59946,0.3044,1.68088,1.59594,1.74375,0.0007822,0.0007822,0.0007822
13,141.927,1.5276,1.69654,1.62884,0.52015,0.58049,0.5784,0.28813,1.70323,1.6909,1.78929,0.0007624,0.0007624,0.0007624
14,152.855,1.49943,1.63555,1.6072,0.64837,0.54765,0.58706,0.29339,1.71484,1.60526,1.76043,0.0007426,0.0007426,0.0007426
15,163.338,1.51951,1.61156,1.60705,0.59507,0.64041,0.64243,0.31511,1.73969,1.5418,1.76818,0.0007228,0.0007228,0.0007228
16,173.813,1.52816,1.67204,1.62835,0.58162,0.61668,0.6187,0.30421,1.68544,1.55232,1.76721,0.000703,0.000703,0.000703
17,184.383,1.49105,1.58732,1.58955,0.56937,0.67255,0.64805,0.32431,1.68151,1.46352,1.69061,0.0006832,0.0006832,0.0006832
18,194.947,1.48808,1.58155,1.60304,0.60047,0.63189,0.64696,0.34959,1.57325,1.46789,1.66961,0.0006634,0.0006634,0.0006634
